AuthorId,RecipeId,Time,HighCalories,LowFat,HighFiber
2001493791C,238798,598,0.0,1,1
47472D,31342,2999,0.0,0,1
1410177C,406380,4500,0.0,0,0
2704616C,494667,2998,1.0,0,0
123184D,440915,1801,1.0,0,0
1678336E,12015,301,0.0,0,0
561124D,60165,3300,0.0,1,0
985847E,95788,2400,0.0,0,1
20754C,129198,2401,0.0,0,1
1803038452E,93026,121,1.0,1,0
45463519E,17134,2100,1.0,0,0
1803483450C,74086,2399,0.0,0,0
2001939950D,9319,30600,0.0,1,0
1884177B,26451,1199,1.0,0,0
1607740D,110311,2700,0.0,0,1
2001104042A,176719,602,1.0,1,0
595604A,163286,300,0.0,0,1
237258C,22053,3298,0.0,0,0
476152A,376204,1500,1.0,0,1
2000866880D,137629,4499,1.0,0,0
2001554784E,307730,2700,1.0,0,0
42262272A,392158,1800,1.0,1,0
1803507713B,229548,3900,1.0,0,1
206608A,57413,599,0.0,1,0
1495968C,28011,3001,1.0,0,1
973290D,22267,3900,1.0,0,0
2002161015D,155616,2700,0.0,1,1
2001529029C,16879,3600,0.0,0,0
540865D,255239,4499,1.0,0,0
1864214A,35341,2700,1.0,0,0
1846602E,260767,3000,1.0,0,0
161652C,37120,1199,1.0,1,0
2322917D,257723,4201,1.0,0,0
754254C,62855,2398,0.0,0,0
367581E,72639,540,1.0,0,1
272443B,322465,3300,1.0,1,0
688768D,228809,599,0.0,0,0
2000758272B,255672,3600,1.0,0,0
1222368B,268539,6299,0.0,1,1
2271250D,28408,721,1.0,0,0
2000827979A,38766,2397,1.0,0,0
1667460B,221743,2398,0.0,0,0
2001836683B,11971,2998,0.0,0,1
1656759D,67238,3299,0.0,0,0
1593230B,439084,3300,1.0,0,1
1182405A,125227,4799,1.0,1,0
186385E,54257,3898,0.0,1,1
1034097D,183629,3300,0.0,0,0
2001394887C,16171,600,1.0,1,0
1222368B,216041,7200,0.0,0,0
1059475B,312259,1801,1.0,0,0
2189459A,23941,1200,0.0,1,0
2002169292E,214965,1799,0.0,1,1
2000444968D,82674,1200,1.0,0,0
1302598A,87892,2700,1.0,1,1
1094691C,103572,2999,0.0,0,1
2002076349B,73825,13500,1.0,0,0
2322917D,468583,1678,1.0,0,0
2000808766E,54269,900,1.0,0,0
2000333540A,364662,2100,0.0,0,0
2001952485A,130650,5101,1.0,0,0
2095040A,118409,4801,0.0,0,0
2001180976D,316406,1498,0.0,0,0
2115365A,165826,2399,0.0,0,1
579624D,206388,600,1.0,0,0
2000827979A,134182,600,0.0,1,0
2001721526A,111949,1260,0.0,1,0
2001080641B,25690,88200,0.0,0,1
1396933A,11431,2700,0.0,0,0
2001217679A,67478,43200,0.0,1,0
544731E,100793,1201,0.0,0,0
331467C,109408,3601,0.0,0,0
2000418861D,37968,4197,1.0,1,0
1664729A,170190,3601,0.0,1,1
1692742E,277167,2398,0.0,0,0
335936B,203759,1799,0.0,0,0
12866531A,247796,2999,0.0,1,0
437473C,45005,900,1.0,1,1
2002157358A,73241,179,1.0,0,1
664683A,222625,4199,1.0,1,0
12454207E,9327,3899,1.0,0,1
105002D,324890,8399,1.0,0,1
2000753414E,334135,1199,1.0,0,0
1450361E,65645,2699,0.0,0,0
567460A,252294,3599,0.0,0,0
2001444890A,457972,1800,0.0,0,1
242448E,115688,4499,1.0,0,0
907159E,138786,6898,1.0,0,0
1567558A,113762,417,1.0,0,0
1803387813D,43140,22801,0.0,0,0
639031A,21256,900,1.0,0,1
751444B,266473,4799,0.0,0,0
68942D,482385,2698,0.0,0,1
1814518A,388740,15299,0.0,0,1
2237302A,279191,177,0.0,0,1
11294013C,21882,9000,1.0,1,1
104168A,38624,1800,0.0,1,0
2002514229E,228230,12599,0.0,0,0
1434833C,128105,1201,0.0,0,0
842776E,276628,2700,0.0,0,0
2001700132B,87521,2399,0.0,0,0
2916424C,74275,3600,1.0,0,1
98643B,15411,24300,0.0,1,1
2001242217D,79595,2338,0.0,0,0
2002161877C,302886,897,1.0,0,0
2001157099D,70366,3000,0.0,0,1
1803495089D,91720,3001,1.0,0,0
561326C,104086,8400,0.0,0,1
153927D,375710,298,0.0,1,0
153065D,28758,899,0.0,0,0
578427D,78122,5100,0.0,0,1
171324D,20643,4800,1.0,0,0
1392882D,191419,3300,0.0,0,0
30914D,3537,4201,0.0,0,1
2001566112D,82115,2161,0.0,1,1
386656B,264750,7799,0.0,1,0
195455A,166973,1501,1.0,1,1
2000875780D,26849,2699,0.0,1,1
2001269107E,10127,600,1.0,1,0
2001933475E,200799,2699,1.0,0,0
1800338702E,67256,2399,0.0,0,1
2000455208C,69602,2519,0.0,0,1
2339031D,93051,1199,0.0,0,1
2000816313C,205995,1200,1.0,0,1
2001980524C,304449,1498,1.0,0,1
1557261C,334362,1200,0.0,0,0
229260B,349029,4200,1.0,0,0
462704B,20798,300,1.0,0,0
2001985729E,13577,778,0.0,1,0
394904E,22656,598,0.0,0,0
2398038C,150490,22501,0.0,0,1
2002451946E,328739,3598,0.0,1,0
1679564B,60449,2400,0.0,0,0
2001127421B,369399,5099,1.0,0,0
2000141054B,215778,2399,1.0,0,0
2002463647E,147254,2100,1.0,0,0
2001740301C,44124,8998,0.0,0,1
2000606787A,100122,1501,0.0,0,0
1695234C,154400,5281,1.0,0,0
989094B,380988,600,1.0,0,0
1701713B,458008,2399,0.0,0,1
348652E,333418,4800,1.0,0,1
720784E,234672,2699,0.0,0,0
1939081B,123357,5399,1.0,0,0
518537E,150469,1499,0.0,1,1
1588257B,2708,1679,0.0,0,0
271353D,115372,2699,1.0,1,1
960396E,410139,900,0.0,1,0
2001458579A,56366,1202,1.0,0,0
66708C,89207,1200,0.0,0,1
2533797E,81968,900,0.0,0,0
1800057738A,4152,2098,0.0,1,1
24140C,16358,2701,0.0,0,0
385312E,108562,1500,1.0,0,0
2894123C,200296,4201,0.0,1,0
2000931611C,482047,901,1.0,0,0
381694B,118801,2699,1.0,0,0
2001127421B,218172,2701,0.0,0,0
2038208D,189019,5399,1.0,0,0
2000136199B,310536,2100,0.0,1,0
1788388A,136327,4800,0.0,0,1
11710638C,81891,1199,0.0,1,1
1803786633C,464935,299,0.0,0,1
2217058E,240528,3299,0.0,1,1
2001311162C,102111,3599,0.0,1,0
1222368B,134257,5399,0.0,0,0
779129A,317305,599,1.0,1,1
154522C,80975,120,1.0,0,0
723833D,34753,4499,1.0,0,0
2000333540A,352676,3301,0.0,1,1
356867D,299152,3600,1.0,0,1
2001092253B,72308,3000,0.0,0,1
89477A,203261,5698,0.0,0,1
1004977C,31371,1199,0.0,1,0
2001414045C,87914,601,1.0,0,0
2002595122C,141497,1319,0.0,1,1
2001462819E,225354,3901,1.0,0,1
2246236E,95823,3000,0.0,1,1
2000474556D,13685,900,0.0,1,0
1812249D,201865,2098,0.0,0,0
2239844D,232083,2098,1.0,0,0
516153C,82594,1798,0.0,0,0
490143C,216744,2099,0.0,0,1
36228C,178642,2700,0.0,0,1
2000378475B,48606,2999,1.0,0,0
2000141054B,202859,4801,0.0,1,1
2001462186C,38552,2401,0.0,1,0
1900825D,54351,2998,0.0,0,1
2001965232D,386749,300,0.0,0,1
2519503B,50270,10499,0.0,1,1
1668675A,42821,599,0.0,0,0
2000870276A,171073,2999,1.0,0,1
2002321740C,200802,1800,1.0,1,0
221472B,140220,121,1.0,1,1
243533C,42126,3598,1.0,0,1
439405E,371539,4797,1.0,0,0
317607A,2496,5400,0.0,0,0
979978E,140382,2701,1.0,0,0
1154380E,7568,16500,1.0,0,1
1440828D,274535,1799,0.0,0,0
2000884206C,52212,2398,0.0,1,1
1413963B,332686,4200,0.0,1,0
546649E,189528,3899,0.0,0,1
2770828A,54283,1200,1.0,0,0
42900E,267355,2400,0.0,0,0
1362275E,188027,3300,1.0,1,0
2277685E,99284,2099,0.0,0,1
1859521C,113229,13798,0.0,1,0
242700D,63517,4500,0.0,1,1
1073154D,214973,4200,1.0,0,0
2001559879E,71197,59,0.0,1,1
2001601402D,99077,2397,0.0,1,1
96394E,126407,1798,0.0,0,0
2000914202D,44400,599,0.0,0,0
554644C,25667,118,1.0,0,0
770595D,31037,2101,0.0,0,1
376026C,64927,300,1.0,1,0
2001806481C,85839,2399,1.0,0,1
1569722B,17186,2700,0.0,0,1
2907986D,160251,5939,0.0,0,0
2000498192D,139396,12899,1.0,0,1
1612570D,118761,900,1.0,1,1
131498D,68850,599,0.0,0,1
293797D,33085,601,1.0,0,1
41323770B,60981,7798,0.0,0,0
62715D,63466,2399,0.0,0,1
1507817A,80734,841,1.0,1,1
799928B,335376,6899,0.0,0,1
2795497C,23036,4800,0.0,1,1
915458C,364129,4318,0.0,1,1
2919616E,344609,6901,0.0,0,1
1556659C,355877,1201,1.0,0,0
2000760057B,135438,1081,0.0,1,0
1800043204A,74594,1799,0.0,0,1
1625155A,94673,4199,0.0,0,0
1595555A,335197,900,0.0,0,0
2744293D,42564,4800,1.0,0,1
2002359523A,81996,2099,1.0,1,1
2002030275C,194466,5399,0.0,0,1
916480A,15420,899,0.0,0,1
972515D,112974,2399,0.0,1,0
2492330C,301754,29102,0.0,0,0
562526E,74651,2400,0.0,0,0
2710176E,264354,1499,1.0,0,0
206134A,436197,2399,1.0,1,0
18920C,263674,7499,1.0,1,0
1712894C,77654,2999,1.0,1,0
1669273B,22201,2400,0.0,0,0
2001624298E,54225,1798,0.0,1,0
1440531E,13269,2100,1.0,1,0
2924188E,129114,6299,0.0,0,1
890016B,33777,2400,1.0,0,0
2002121528D,185753,1500,1.0,0,0
2640829E,486641,1198,0.0,0,0
70977D,28208,2398,1.0,1,1
570587B,434140,778,1.0,1,1
490143C,38705,1499,0.0,1,1
1803025794D,425661,15301,0.0,0,0
2000455877B,382235,600,0.0,0,0
1920450C,61747,3600,1.0,0,1
1330270A,156144,4498,0.0,0,0
147925C,50896,1499,1.0,0,1
463495D,49896,1800,0.0,1,0
767382D,40865,599,0.0,0,1
765130E,43320,1801,0.0,0,1
180246D,190410,4799,1.0,1,1
2810361A,79427,599,0.0,0,0
2001328492C,232902,1799,0.0,0,1
707361D,109264,301,1.0,0,0
2577188D,505636,2698,1.0,0,0
2276512B,374417,3301,0.0,0,0
1154888E,459075,4200,0.0,0,0
2899117A,84545,901,1.0,0,1
2002705865C,118047,2998,0.0,1,1
1272413C,54184,3298,0.0,0,1
2000243807D,2670,5443197,1.0,1,1
2002761237A,159618,958,1.0,1,0
454770E,287636,1318,0.0,0,1
629055A,19090,300,0.0,0,1
2000170041A,32014,15299,0.0,1,1
490143C,135090,2399,1.0,0,0
1374396B,88038,1800,1.0,1,0
365690A,73921,299,1.0,1,0
618028E,208401,600,0.0,1,1
210098A,210419,3898,0.0,0,0
2002087784B,345328,2100,1.0,1,0
2001961001B,78814,1800,0.0,1,0
2000584995A,201001,899,0.0,0,1
570256B,188586,600,0.0,0,0
135017D,10459,1200,0.0,1,1
2002170087A,10353,18302,0.0,1,1
2000234778D,310818,2401,0.0,0,0
1578873E,94195,30299,0.0,0,0
143146C,83205,2999,1.0,0,1
1633490E,38564,8101,1.0,1,0
343561E,177539,4800,0.0,1,0
2922673A,48855,2100,0.0,1,0
1925474A,103767,3299,0.0,1,1
1803544691B,125238,1499,1.0,0,1
2000242832E,71203,1800,1.0,0,0
1800093616E,484315,1800,0.0,0,0
156637E,332695,4499,0.0,1,0
104168A,112705,1800,0.0,0,1
751444B,231194,2100,1.0,0,0
919834D,98636,1499,0.0,0,0
1749627E,321466,7200,0.0,0,1
2000688673E,61141,1321,1.0,1,1
983121B,63509,4198,0.0,0,1
11643471E,295679,1201,0.0,0,0
2002361851D,72308,2999,0.0,0,0
1812579D,104086,8397,1.0,1,1
2001388884C,37241,301,0.0,1,1
2232000D,173003,3297,0.0,0,1
2000870276A,239472,3899,0.0,0,0
487864E,409844,2399,0.0,0,0
2002170087A,273842,3299,0.0,0,1
2001343841D,161530,2999,0.0,0,1
2001993126E,33869,1019,0.0,0,0
944435C,354028,299,0.0,0,1
2001892544D,439307,1801,0.0,1,0
2027782B,10614,2999,1.0,0,1
2087934E,101933,5400,0.0,0,1
1593230B,184950,1199,1.0,0,0
37184C,431071,4500,0.0,1,1
589009E,133062,2999,0.0,1,0
2000330970B,41893,2999,1.0,0,0
45564320D,37200,29701,0.0,1,0
2001286612E,241181,1919,0.0,0,0
600397C,14808,1800,0.0,0,1
2000034621B,147496,2760,0.0,1,0
2001306521A,57124,4801,1.0,1,0
1434234C,34881,3599,0.0,1,0
683746A,87774,4499,0.0,0,0
1800556379C,119255,3897,0.0,0,1
488773C,258558,899,1.0,0,1
2955934D,108766,598,1.0,0,0
1599055B,134183,4499,0.0,1,0
1019804B,81367,7800,0.0,0,0
2001838832B,14911,600,1.0,1,1
396399A,60849,2101,0.0,0,1
1023010A,103215,2399,0.0,0,1
1803101168E,224702,3600,1.0,0,0
518537E,75141,4199,0.0,0,0
2001213759C,25972,4202,1.0,0,0
774906D,416010,898,0.0,0,1
2002411426D,4050,1199,0.0,1,1
2002232038A,174938,3000,1.0,0,1
4203D,184537,2099,0.0,0,1
884434B,233240,3899,0.0,0,1
1800012A,66976,2700,1.0,1,0
550646E,422599,900,0.0,0,0
2000264202A,215042,3600,0.0,0,0
2000401754A,162877,25200,0.0,0,0
1658473A,294481,2099,1.0,1,0
728947E,72308,2999,1.0,0,0
2002127663B,103409,9599,1.0,0,0
2002451946E,428285,601,1.0,1,0
1803435676B,15551,6302,1.0,1,1
2000827979A,306987,2398,0.0,0,0
1625155A,389275,3598,0.0,1,1
481946E,57919,2399,0.0,0,0
1400784B,3180,1500,1.0,0,1
2024767A,221777,601,0.0,0,1
493556C,40982,7799,0.0,0,0
2002411426D,359230,478,1.0,0,1
2000277278B,46922,3001,0.0,1,1
2001662935A,90246,1800,1.0,0,1
2002056122D,246989,3899,0.0,1,0
2002459711B,47391,241,1.0,0,1
355769B,119417,899,0.0,1,0
2002674333D,72631,899,0.0,0,0
2000865063A,47188,4498,0.0,0,0
2002220769B,36140,2999,0.0,0,0
729622E,218856,3300,1.0,1,1
544862D,111734,1799,0.0,0,1
361999A,204259,3901,0.0,1,0
2000029214C,170434,2998,0.0,0,0
2001060157B,89207,1198,0.0,0,0
1802743409E,56315,0,0.0,0,1
1338937A,168622,1213201,0.0,1,0
1382040C,383929,7501,0.0,0,0
1223287D,442977,5699,0.0,1,1
402712D,55840,239,0.0,0,0
1802619111D,157069,1501,1.0,1,1
1091386B,92095,361,0.0,1,0
104168A,41040,1498,0.0,1,0
596377E,133562,899,1.0,0,0
2001038679A,77978,4201,0.0,1,0
2000680743E,179972,1199,0.0,0,1
1316891A,160394,3001,1.0,0,1
352828A,380078,1499,1.0,0,1
2002252566D,514605,4499,1.0,0,0
488363A,114514,3899,0.0,1,0
2001810240B,350624,1801,1.0,1,0
56895D,152347,1799,1.0,1,1
2000770105C,68358,2100,0.0,0,0
2001967057C,78017,3898,0.0,0,1
396351A,221675,6600,0.0,0,1
1374360C,464087,20699,1.0,1,0
1635795E,312216,29821,0.0,0,0
1138673D,117194,9000,1.0,0,0
1052063E,19766,3598,1.0,0,0
326409D,78194,18599,0.0,0,0
2434846A,3579,26099,0.0,1,1
8406E,205093,1799,1.0,1,0
2001837659B,52892,1499,0.0,1,0
381754A,14991,1799,0.0,0,0
313535D,180306,2399,1.0,1,1
688301A,9979,3000,1.0,0,0
2001523148D,238542,1499,0.0,0,0
386681C,304276,2400,0.0,0,1
2002147012D,2526,1500,0.0,1,0
208565E,16584,2998,1.0,0,0
465269B,36431,2700,0.0,0,1
1802722495E,70037,4801,0.0,0,1
2000696720D,27520,899,0.0,0,0
435013E,38783,2399,0.0,0,0
1059475B,356904,1199,1.0,0,1
366076D,100798,3900,0.0,0,0
2002189435C,38846,3299,1.0,1,0
1620225C,138709,3598,0.0,1,0
16989B,16769,8099,0.0,0,1
2001047035D,43826,600,0.0,1,0
405061C,90941,298,0.0,0,0
2416434E,208188,1200,1.0,0,0
2000546852A,147262,2759,0.0,1,0
884733A,83547,1199,1.0,0,1
338101E,139694,4499,0.0,1,0
1424855D,224770,21899,0.0,0,1
2370779C,67256,2398,1.0,0,0
2001015198A,128350,4499,0.0,1,0
2001682451C,265936,2999,0.0,1,0
1822468D,124074,7798,0.0,0,0
386681C,293494,4501,0.0,1,0
2002521330B,104399,1500,0.0,1,0
2000279861D,176286,1499,1.0,0,1
2671254B,156833,299,0.0,0,0
188940B,290246,2101,0.0,0,0
2577188D,301497,300,1.0,1,1
223784D,98783,1799,1.0,1,1
1771367E,15397,4798,1.0,0,0
2001548610E,171616,899,1.0,1,1
975069A,54752,22498,1.0,0,1
2000816938E,37318,899,0.0,0,0
1517354E,53473,601,1.0,1,0
1801537445B,211839,2699,1.0,1,1
356867D,208258,2699,1.0,0,1
2001356891A,288440,3598,0.0,0,0
70027A,243965,1200,0.0,0,0
2001939025D,274683,899,0.0,0,0
711407A,60863,1800,0.0,1,0
2577489D,81115,1498,1.0,0,1
727815D,346605,3599,1.0,0,1
754183D,249216,14700,1.0,0,1
1930181E,248771,1799,0.0,0,0
1829123C,41142,1499,1.0,1,1
323130D,353610,3600,0.0,0,1
1757806B,185533,2098,1.0,0,1
1303967D,270279,5700,1.0,0,1
1519960B,44729,2219,0.0,0,0
987487A,147497,6297,1.0,0,0
1413950E,15700,1800,0.0,0,1
2002182202D,200168,4499,0.0,0,0
1629058D,83828,3300,1.0,0,1
1325476C,294196,3600,0.0,0,0
37106C,66603,300,1.0,0,0
2000271130C,218288,15299,0.0,0,1
2818778E,372083,3600,0.0,1,0
686416E,94055,3000,1.0,0,1
2739374E,269713,600,0.0,1,0
2530954B,100762,1800,0.0,1,0
282005C,459093,11399,0.0,0,1
381707B,37336,599,1.0,0,0
30791B,40983,2399,1.0,1,1
39674E,60235,2100,1.0,0,1
1917741C,9506,15600,0.0,0,1
1673589D,28670,900,1.0,1,1
2000366025E,5287,2101,0.0,0,0
763707B,424183,2399,1.0,0,0
207676C,177500,5399,1.0,0,1
1802911870C,284939,1200,1.0,0,0
892063C,22986,26098,1.0,0,0
2427162A,56307,901,1.0,1,0
2002196312A,23645,1198,0.0,0,0
1097900A,380608,4799,0.0,1,1
2838579A,185445,1500,0.0,1,1
835323D,117836,19801,1.0,0,1
2002382488A,85350,600,1.0,1,0
548083E,162138,299,1.0,0,0
844229C,268944,2400,1.0,0,0
562526E,84427,3598,0.0,0,0
1745114E,7728,2699,1.0,1,1
1328608B,51933,3598,0.0,1,1
2493873E,377411,1620,0.0,0,0
883903D,29833,4200,0.0,0,1
779107A,199171,18599,0.0,1,0
2577188D,363280,600,1.0,0,1
1979822C,108524,601,0.0,0,0
1635795E,293905,3002,1.0,1,0
1434833C,138565,1918,0.0,0,1
1235623C,242125,1799,1.0,1,1
1606626E,50816,2400,1.0,0,0
1803461391E,88453,4801,0.0,0,0
120462B,76470,1201,0.0,0,1
1709681B,119438,1200,1.0,1,1
493556C,2264,29700,1.0,1,1
1802877278B,199604,6541,0.0,1,0
818125A,226673,2399,0.0,1,0
1800065150C,285195,1800,1.0,1,0
2000084973C,116849,1799,1.0,0,0
2094148C,73440,1799,1.0,1,0
104168A,40869,4798,1.0,0,0
2002157358A,178186,1800,1.0,1,0
1800093616E,484513,3000,1.0,0,0
403342E,68876,1800,0.0,1,0
711172D,76891,300,1.0,0,0
278940B,190953,1800,0.0,0,0
1708911E,227257,1801,0.0,0,0
2788347E,218280,4199,1.0,0,1
332100B,28377,2999,0.0,0,1
675445C,188706,3600,0.0,0,0
2228949C,247965,2699,0.0,0,1
2002027797C,463509,3600,0.0,0,0
546875B,23766,1200,0.0,0,0
683746A,50101,898,0.0,0,1
2001126836C,4167,602,0.0,0,1
2000376616A,274329,480,1.0,0,1
365453E,431542,2398,1.0,0,0
2001376005E,73355,1201,0.0,0,1
1020153C,373245,2701,1.0,1,0
413839C,75894,2700,0.0,0,0
11458782E,85373,302,0.0,1,1
352885D,229618,5699,0.0,0,1
2000322257D,108225,1200,0.0,1,0
1302598A,52620,1799,0.0,1,1
456221D,47610,3000,0.0,0,1
91994A,326754,5400,1.0,1,0
2002530924C,13098,3598,0.0,0,0
1800238500D,34667,3001,0.0,1,0
1801537445B,201758,300,1.0,0,0
1438575A,99712,958,1.0,0,1
42340B,136517,600,1.0,1,1
2641968A,67733,2400,1.0,0,0
2001283111C,26820,2519,1.0,0,0
2180612D,23821,40199,0.0,1,0
1101195E,269038,6299,1.0,1,0
2002657307B,35096,1499,0.0,0,0
1941891A,64267,2999,0.0,0,0
2000093139E,79034,3600,1.0,1,1
596377E,10136,3901,1.0,1,1
2001617200A,227542,2102,1.0,0,0
1084438C,49896,1798,0.0,0,1
1802633866B,105545,299,0.0,0,0
1971379D,71273,11698,0.0,0,1
1188617B,15963,3900,0.0,1,1
621023A,9727,23401,0.0,0,0
956104D,72308,2999,1.0,0,1
366076D,78707,1500,0.0,1,0
935221A,167797,1620,1.0,1,0
1324811A,66093,4498,1.0,1,0
45836E,262553,5099,0.0,1,0
1402544B,45330,719,1.0,1,0
562526E,16325,11399,0.0,1,0
1802686027D,12080,2399,1.0,1,1
168462B,28768,3900,1.0,1,1
2001262063C,483015,3600,0.0,0,0
2122722D,482290,5099,1.0,0,0
679960B,88330,3898,0.0,0,0
518537E,367498,2701,0.0,0,0
2460426A,511199,5401,0.0,0,1
1800359337E,40832,599,1.0,0,1
2001381969E,326661,598,0.0,0,1
382893C,74554,421,0.0,0,1
681828C,54343,8099,0.0,0,1
113493A,26191,3600,0.0,0,0
2102870A,83141,1200,0.0,0,0
2000479173B,253722,3302,0.0,0,0
892642B,500707,1800,1.0,0,1
2002799386C,535690,2698,0.0,0,0
1749627E,79325,1800,1.0,0,0
2002095860A,307154,11700,1.0,0,0
2108046B,82486,5398,1.0,0,1
1398069B,415661,0,1.0,0,1
873628C,31516,778,1.0,0,1
549754A,58760,11699,1.0,1,0
1566612A,202390,4799,0.0,0,0
1802201704C,50291,4500,1.0,0,0
589747E,155959,1799,1.0,0,0
101828D,243293,4198,0.0,0,0
611106A,186432,2699,1.0,0,0
1042948B,328537,1798,0.0,0,1
32673E,48258,15300,0.0,0,0
2002155260B,116989,4499,0.0,0,1
751444B,406331,3599,0.0,0,0
521247B,250852,1800,0.0,1,0
2001423706C,48641,1681,0.0,0,1
2000242655C,307927,2999,0.0,0,1
2824219B,82191,3001,0.0,0,0
41867B,60136,301,0.0,0,0
335475B,103443,3899,1.0,0,0
2002425731D,68178,899,0.0,0,0
1997882E,117780,1798,0.0,0,1
1803511504A,503558,1199,0.0,1,1
2919616E,408294,2101,0.0,0,0
84081E,28140,8999,0.0,0,1
1544298E,152441,2998,0.0,1,0
1557261C,422466,1800,0.0,1,1
1802806122A,72780,6001,0.0,1,0
60855C,97745,899,0.0,0,1
828626B,11619,1201,0.0,1,1
1757530D,154142,600,0.0,0,1
2372754B,5194,3600,0.0,0,0
2001558229C,29829,2101,1.0,0,0
2000344725E,39369,1799,0.0,0,1
2002539890C,33671,2698,0.0,1,0
1558517C,89105,4499,1.0,0,1
2001721677E,12785,9300,0.0,0,1
2514982D,29155,3599,0.0,0,1
2664314B,466716,2999,0.0,0,1
2001588505D,341042,2998,1.0,1,0
1196337A,28500,3001,1.0,1,1
1709681B,101104,4500,0.0,0,1
2001969175C,139310,598,0.0,0,0
2004296C,18725,3899,1.0,0,0
552055C,101651,5398,0.0,0,0
2819153D,261394,1199,1.0,0,1
2002013280D,44849,4500,0.0,0,0
37220E,137724,479,1.0,0,0
430971A,280797,4501,1.0,0,1
2614944A,354141,1079,1.0,1,1
2001447941C,198962,3001,1.0,0,0
2001038679A,179233,598,0.0,1,0
274993C,34639,2399,1.0,0,1
2002219246D,121200,2399,0.0,0,0
2000167481E,208155,1799,0.0,0,0
1930181E,285853,1499,0.0,1,1
2002173850A,264447,3899,1.0,1,1
19676C,74099,2400,1.0,0,1
2001535420A,8596,3300,0.0,0,0
2001628888C,90323,6601,0.0,0,0
364607E,4089,2702,0.0,1,0
589009E,263699,4500,0.0,1,0
1889271E,105737,598,0.0,0,0
1625155A,481310,7198,0.0,0,1
863645A,164706,1319,1.0,0,1
2369916D,271003,2698,1.0,0,0
2001992595B,26257,2401,0.0,1,1
2919984D,270975,900,1.0,0,0
1225354D,412049,2397,0.0,0,1
2002514229E,185438,8999,0.0,1,0
1088067C,83561,4200,0.0,0,1
322000D,26487,242,0.0,0,1
1803166310E,147797,1500,0.0,1,0
488773C,209670,2699,0.0,0,0
39569B,119168,2700,1.0,0,0
2002040356A,12699,3899,0.0,0,1
2000141054B,292827,2219,1.0,0,0
