AuthorId,RecipeId,Like
1007296C,9186,0
1007469A,38065,1
100770C,441782,0
1007722B,83547,0
1007722B,166623,0
1007722B,151541,0
1007722B,170851,0
1007722B,26168,0
1007722B,17080,0
1007722B,126025,0
1007722B,194902,0
1007722B,92334,0
1007722B,112575,0
1007722B,184510,0
1007722B,16870,0
1007722B,218528,0
1007722B,245581,0
1007722B,134486,0
1007722B,135210,0
1007722B,212715,0
1007722B,70016,0
1007722B,68512,0
1007722B,172763,0
1007722B,282992,0
1007722B,144975,0
1007722B,211498,0
1007722B,59899,0
1007722B,285077,0
1007722B,97169,0
1007722B,150473,0
1007722B,282969,0
1007722B,179729,0
1007722B,47391,0
1007722B,76913,0
1007722B,283072,0
1007722B,51935,0
1007722B,110156,0
1007722B,53594,0
1007722B,243278,0
1007722B,61726,0
1007722B,50124,0
1007722B,104680,1
1007722B,69033,1
1007722B,82039,1
1007722B,154147,1
1007815A,40879,0
1007815A,144771,0
1007815A,147691,0
1007815A,187260,0
1007815A,35450,0
1007815A,133826,0
1007815A,157977,0
1007815A,85955,0
1007815A,194301,0
1007815A,100480,0
1007815A,75309,0
1007815A,132698,0
1007821A,80647,0
1007821A,76628,0
1007920E,21706,0
1008067C,123287,0
1008067C,109785,0
1008067C,62778,0
1008067C,25348,0
1008067C,9326,1
100824C,133877,0
1008441D,293899,0
1008442E,137674,0
1008454B,67256,0
1008493C,240524,0
100856D,9836,0
1008587B,290662,0
1008654D,255373,0
1008752C,46560,0
100891B,437493,1
1009072B,437729,0
1009208B,8424,0
1009652E,220758,0
10097736C,19724,0
10097736C,66549,1
100985C,504257,0
100998B,141983,0
1010031C,61181,0
101011D,123104,0
1010253E,140839,0
1010284A,70097,1
1010284A,179,1
1010371B,98867,1
1010448A,18816,0
1010661C,192415,1
1010741E,325034,0
1010907A,83561,0
1010907A,35889,0
1010982A,317786,0
101100A,1209,0
101100A,89204,1
1011076B,44126,0
1011076B,450153,0
101110E,331489,1
1011585D,188079,0
1011585D,151432,0
1011585D,67733,0
1011585D,82334,0
1011622D,71906,0
1011622D,57609,0
1011647B,195212,0
1011647B,38084,0
1011702B,248110,0
1011702B,157549,0
1011702B,109544,0
1011702B,24253,0
1011702B,295986,0
1011702B,317924,0
1011702B,323424,0
1011702B,234611,0
1011702B,95222,0
1011702B,27208,0
1011702B,283848,0
1011702B,197195,0
1011749D,18147,0
1011756D,356383,0
1011770C,14928,0
1011811B,64264,0
1011811B,18693,1
1011827A,4746,0
101184D,69173,0
101184D,97496,0
101184D,26947,1
1011953E,351561,0
1011973A,122123,0
1011999C,189642,0
1012114E,417900,0
1012204E,296608,0
1012250D,302791,0
1012250D,491090,0
1012250D,517709,0
1012250D,30484,0
1012250D,201849,0
1012605C,130042,1
1012605C,31546,1
1012631E,200031,0
1012631E,3564,0
1012643C,225424,0
1012712B,404027,0
1012712B,391316,0
1012712B,133751,0
101275B,106342,0
101275B,62709,0
101275B,71453,0
101293E,100104,0
1012957D,17846,0
101298B,155331,0
101303A,32204,0
1013084B,51199,0
1013144C,16249,0
1013161D,197712,0
1013196C,14148,0
101320B,245887,0
1013355C,24521,0
101343E,19871,0
1013682B,122847,0
1013778B,411045,0
101380E,66575,0
1013833A,301985,0
1014092E,83708,0
1014390C,32080,0
1014532A,107544,0
101456C,10797,1
101459E,184070,0
1014955D,49695,0
1014955D,31477,0
1014955D,182629,0
1015040A,398884,0
1015162A,193356,0
101547E,27372,0
1015490A,15242,0
10155139D,332328,0
101563A,190896,0
1015739D,102617,0
1015739D,409833,0
1015739D,421331,0
1015739D,80843,0
1015739D,52298,0
1015739D,330000,0
1015739D,27475,0
1015739D,42886,0
1015739D,40470,0
1015739D,54257,0
1015739D,99952,0
1015739D,77397,0
1015739D,503123,0
1015739D,122968,1
1015772B,53660,0
1015788A,56103,0
101604D,12410,0
1016261E,205790,0
1016344E,487283,0
1016395D,25685,0
1016395D,30745,0
1016395D,38584,0
1016395D,51140,1
1016549A,202799,0
1016549A,8500,0
1016549A,218589,0
1016549A,18185,0
1016552A,114524,0
1016580C,250506,0
1016584E,107142,0
1016585E,141301,0
1016626B,11474,0
1016635E,33652,0
10167558C,73166,0
10167558C,9267,1
101687D,156427,1
1016897E,466209,0
1017242C,21026,1
101730D,281722,1
1017428A,20755,0
10174345A,95442,1
1017495D,190414,0
1017495D,172789,0
1017495D,1005,0
10175C,121267,0
101764A,14569,0
101764A,95222,0
101764A,127444,0
101764A,46922,0
1017784C,359725,0
1017784C,86875,0
1017794C,632,0
1017908E,248951,1
1017960A,83192,1
1017982A,365667,0
1017992D,179361,0
101801B,514605,0
1018055B,167055,0
1018155B,16570,0
1018174B,108310,0
101819C,172362,0
101826D,481547,0
101828D,243293,0
101828D,61632,0
101828D,248969,0
101828D,290078,0
101828D,61358,0
101828D,102759,0
101828D,271139,0
101828D,229606,0
101828D,231794,0
101828D,116230,0
101828D,243271,0
101828D,207553,0
101828D,90676,0
101828D,242099,0
101828D,70725,0
101828D,63553,0
101828D,222519,0
101828D,149110,0
101828D,324623,0
101828D,330056,0
101828D,31336,0
101828D,28603,0
101828D,283110,0
101828D,212183,0
101828D,43689,0
101828D,195890,0
101828D,179783,0
101828D,256392,0
101828D,106704,0
101828D,117321,0
101828D,291506,0
101828D,133112,0
101828D,291422,0
101828D,98867,0
101828D,227756,0
101828D,179476,0
101828D,191570,0
101828D,266894,0
101828D,304851,0
101828D,80960,0
101828D,222915,1
101828D,205276,1
101828D,180182,1
101828D,381369,1
101828D,170329,1
101828D,219820,1
101828D,219052,1
101828D,259587,1
1018562D,75106,0
1018707A,59510,0
1018786C,96710,0
1018800E,43049,0
1018804C,132052,1
1018823D,267528,0
1018843E,68424,0
1018990C,8814,0
1019087A,371492,1
1019147C,92244,0
1019171E,501742,1
1019234E,220316,0
1019234E,170102,0
1019234E,174895,0
1019234E,218343,0
1019632B,92485,0
1019632B,172700,0
1019632B,144262,0
1019632B,133579,0
1019632B,154477,0
1019632B,101476,0
1019632B,25431,0
1019632B,131895,0
1019632B,136864,0
1019632B,92337,0
1019632B,137962,0
1019632B,131168,0
1019632B,134237,0
1019632B,7670,0
1019632B,118796,0
1019632B,138112,0
1019632B,197590,0
1019632B,161971,0
1019632B,21497,0
1019632B,108344,0
1019632B,246875,0
1019632B,243420,0
1019632B,29561,1
1019632B,132764,1
1019632B,124213,1
1019632B,134185,1
1019632B,127690,1
1019632B,135459,1
1019632B,63557,1
1019632B,115110,1
1019691B,451094,0
1019804B,81367,0
1019804B,295554,0
101989E,224363,0
1019969D,116851,0
1019969D,29400,0
1020008D,41218,0
1020008D,279941,0
1020008D,27520,0
1020008D,489475,0
1020008D,443593,1
1020090B,257108,0
1020139C,37331,0
1020139C,79914,0
1020139C,130144,0
1020139C,189317,0
1020139C,220419,0
1020139C,199801,0
1020139C,145830,0
1020139C,276202,0
1020139C,156833,0
1020139C,201142,0
1020139C,118617,0
1020139C,198914,0
1020139C,92399,0
1020139C,37495,0
1020139C,199900,0
1020139C,175499,0
1020139C,187531,0
1020139C,151146,0
1020153C,373245,0
1020153C,395399,0
1020153C,53914,0
1020153C,320838,0
1020153C,229496,0
1020153C,405787,0
1020153C,319291,0
1020153C,322497,0
1020153C,9130,0
1020153C,204210,0
1020153C,185373,0
1020153C,41721,0
1020153C,387499,0
1020153C,8995,0
1020153C,460509,0
1020153C,354702,0
1020153C,222258,0
1020153C,149723,0
1020153C,232722,0
1020153C,182102,0
1020153C,413122,0
1020153C,19227,0
1020153C,238971,0
1020153C,425860,0
1020153C,428754,0
1020153C,428609,0
1020153C,159277,0
1020153C,428671,1
1020153C,292502,1
1020153C,325457,1
1020264B,110734,0
1020349B,52672,0
1020349B,8782,0
1020349B,41352,1
1020416E,420398,0
1020417B,393491,1
1020525D,253918,0
102054C,339905,0
102058B,268428,0
102058B,57284,0
102058B,152770,0
102058B,226650,0
102058B,267632,0
102058B,233104,0
102058B,144195,0
102058B,282909,0
102058B,306844,0
102058B,133300,0
102058B,310244,0
102058B,74251,0
102058B,186401,0
102058B,17954,0
102058B,333404,0
102058B,99939,0
102058B,174601,0
102058B,35177,0
102058B,282568,0
102058B,396768,0
102058B,219605,0
102058B,289140,0
102058B,93429,0
102058B,307396,0
102058B,244178,0
102058B,144709,0
102058B,206696,0
102058B,104975,0
102058B,14967,0
102058B,58419,0
102058B,8782,0
102058B,59249,0
102058B,266872,1
102058B,274822,1
1020786E,318406,0
102081E,8337,0
102081E,63465,0
102081E,42456,0
1020912C,395228,0
1020912C,172692,0
1020912C,171502,0
1020912C,294687,0
1020912C,404662,0
1020912C,340645,0
1021068D,150863,0
1021068D,129926,0
1021227E,26863,0
1021308D,31422,0
102135C,14337,0
1021393A,33919,0
1021453C,53761,0
1021463C,19859,0
1021554C,42094,1
1021712E,126611,0
1021712E,53914,0
1021712E,173585,0
1021712E,160564,0
1021746E,58210,0
102185E,192083,0
1021907E,42918,0
1021907E,93732,0
1021907E,96138,0
1021907E,66218,0
1021907E,20132,0
1021907E,175079,0
1021907E,93747,0
1021907E,21342,0
1021907E,17140,0
1021907E,427554,0
1021907E,114965,0
1021907E,111666,0
1021907E,251214,0
1021907E,284810,0
1021913C,192200,0
1021913C,153569,0
1021917D,267289,0
1021990D,182035,1
1022082C,14872,1
1022256B,115849,0
1022339E,41013,0
10227E,356484,0
1023058C,492743,0
1023103B,40470,0
1023109D,123602,0
1023109D,217973,0
1023204E,28148,0
10233A,28943,0
1023430D,99094,1
1023448C,184564,0
102344B,69138,0
102364D,5125,0
1023764D,519,0
1023777C,368487,0
1023782C,96972,0
1023880B,45809,0
1024216B,49801,0
1024486D,117370,0
1024664D,26370,0
1024925C,199619,0
1024982C,127621,0
1024982C,23192,0
1025014E,11355,0
102502C,401359,1
1025039E,124817,1
102503D,302021,0
1025113D,234956,1
102523D,140088,0
102529E,69173,0
102529E,237789,0
102529E,332197,0
10253084B,34962,0
1025507B,40761,0
1025507B,91931,0
1025507B,20374,0
1025507B,18454,0
1025507B,59469,0
1025507B,95318,0
1025507B,120416,0
1025507B,114503,0
1025507B,12648,0
1025507B,68955,0
1025507B,57064,0
1025507B,29100,0
1025507B,57122,0
1025507B,9186,0
1025507B,116349,0
1025507B,40104,0
1025507B,20616,1
1025604A,3059,0
1025784B,155564,0
10258573A,20211,0
102586A,44278,0
102598E,74809,0
1026029C,27860,1
102615B,278278,0
102628D,239205,0
1026500D,26217,1
1026560D,215898,0
1026613E,31206,1
1026618D,90581,0
1026690D,422262,0
102681A,287041,0
1026878D,10744,0
1026878D,19047,1
1027195E,406704,0
1027269E,411314,1
1027272A,456,0
1027514B,196850,0
1027514B,62100,0
1027545A,273796,0
1027846D,132546,0
1027882D,104405,0
1027968B,209214,0
1028228C,129926,1
1028382B,304648,0
1028382B,277668,0
1028382B,50719,0
1028382B,67256,0
1028382B,150863,0
1028390A,20786,1
10283D,292396,0
1029004E,145038,0
1029004E,29833,0
1029004E,41992,0
1029004E,77397,0
102911E,22782,0
102911E,93850,0
102911E,115372,0
102911E,14756,0
102911E,160619,0
1029235B,89260,0
1029243A,45567,0
1029303E,412959,1
1029474C,303792,0
102949A,462563,0
102949A,17917,0
1029554A,13864,0
1029671B,67256,0
1029751C,235409,0
1029952D,33921,0
1029955E,453819,0
1030163A,42609,0
1030264B,59462,1
10302B,26640,0
103033A,117005,0
103033A,113573,0
1030421D,310423,0
1030615E,13181,0
1030715E,404863,0
1030883E,49953,0
1030986B,107786,0
1031226B,150807,0
1031262C,102833,1
1031272D,25452,0
1031403E,150342,0
1031425A,33102,0
1031425A,98278,0
1031457B,219279,0
103147C,45935,0
103160E,536327,0
1031670B,282038,0
1032105C,70097,1
10323151A,17309,0
1032629B,131872,0
1032629B,62010,0
103273C,192456,0
103278B,21521,0
1032863D,219754,0
1032868C,420979,1
1032885B,50806,0
1033016D,134055,0
103310E,126623,0
1033123A,182519,0
1033123A,74135,0
1033123A,116,0
1033123A,25730,0
103319D,185778,0
1033343C,152417,0
1033500D,9160,0
1033763A,12115,0
1033763A,18693,1
1033768B,69202,0
1033768B,82175,0
1034097D,183629,0
1034097D,354111,0
1034097D,31799,0
1034097D,259880,0
1034327B,119449,0
1034381A,114514,0
1034459E,181385,0
1034501E,28199,0
1034501E,99516,0
1034501E,21458,0
1034501E,148231,0
1034501E,68052,0
1034501E,323449,1
1034510D,507176,0
1034579A,8596,0
1034896E,56845,0
1034896E,272193,0
1034972D,313521,0
1035041E,58036,0
1035475D,4075,1
1035730B,72963,0
1035745E,67589,0
1035889B,15258,0
1035889B,532075,0
1036008A,92028,0
1036008A,83441,0
1036083D,356366,0
1036189C,51104,0
1036293B,226021,0
1036293B,70208,0
1036293B,69173,0
1036293B,69071,0
1036293B,22017,0
1036293B,9979,0
1036293B,286965,0
1036293B,256030,0
1036293B,150046,0
1036293B,162379,0
1036293B,65469,0
1036293B,147927,0
1036293B,89503,0
1036293B,35805,0
1036293B,296935,0
1036293B,262579,0
103631E,15145,0
10365382B,62384,0
10365382B,24709,0
10365382B,167785,0
10365382B,141792,1
103653E,80667,0
1036708D,59336,0
1036808D,28768,0
1036808D,102694,1
1036808D,116882,1
1036976E,142998,0
1037019C,235154,0
1037019C,232584,0
1037019C,235307,0
1037138E,128564,0
1037241C,174106,0
1037371B,411314,0
1037494E,430918,1
103767C,47696,0
1037680C,47498,0
1037680C,150863,0
10377697B,9272,0
1037895D,54257,0
10380C,60052,0
103826E,312045,0
1038276C,169620,0
1038276C,80548,0
1038276C,26337,0
1038276C,184533,0
1038374D,26210,0
103854D,217324,0
1038685D,366531,0
1038729A,54530,0
1038778C,18471,0
1038778C,38531,0
1038864C,99718,0
1038864C,206055,0
1038864C,219826,0
1038864C,155444,0
1038864C,222273,0
1038864C,72699,0
1038864C,149856,0
1038864C,95740,0
1038864C,215321,0
1038864C,125453,0
1038864C,86970,0
1038864C,241700,0
1039154E,23510,1
1039498C,41252,0
1039730D,44405,0
1039807A,43397,0
104015A,478050,0
1040231C,122151,0
104025D,34205,0
104025D,32204,0
104025D,60824,0
104025D,15488,0
104025D,298801,0
104025D,192371,0
104025D,20155,0
104025D,59242,0
104025D,9382,0
104025D,76684,0
104025D,23746,1
10403D,59894,1
104055A,11345,0
1040594E,97243,0
1040594E,160856,0
1040631B,11233,0
1040631B,24747,1
1040631B,27000,1
1040665D,348870,0
1040881B,420633,0
1040983E,20736,0
1040983E,59907,0
1040983E,103085,0
1040983E,115532,0
1040983E,121548,0
1040983E,8143,0
104103D,204988,0
1041156A,204863,0
1041339B,377066,0
1041472C,8596,0
1041605D,17083,0
1041989E,91629,0
1042137A,15420,0
1042658B,446829,0
1042823C,57011,1
104283A,133513,0
1042850B,65332,0
1042850B,16448,0
1042850B,26940,0
1042850B,103447,1
1042948B,328537,0
104301C,20408,0
104309C,13620,0
104309C,116887,0
104309C,112721,0
1043405E,54602,0
1043405E,114710,0
1043427D,200419,0
1043491B,79116,0
1043703E,12269,0
1043836C,105727,0
1043836C,25754,1
1043895E,16813,1
1044030E,61439,0
1044175A,154118,0
10442994B,48401,0
1044443C,89204,0
1044443C,27520,0
1044443C,87782,0
1044443C,147237,0
1044443C,279954,0
1044443C,101540,0
1044526A,238824,0
1044552C,28199,0
1044701B,347943,0
1044701B,248005,0
1044765A,247675,0
104477A,16478,0
104488D,117047,0
1044908E,215722,0
1044908E,104652,0
1044908E,294170,0
1044908E,248711,0
1044908E,182177,1
1044963D,54752,0
1045148E,327676,0
1045548D,221829,0
1045548D,134437,0
104560D,18110,0
104560D,490598,0
104560D,321546,0
104560D,66241,0
104560D,7106,0
104560D,110506,0
104560D,121490,0
104560D,19379,0
104560D,206520,0
104560D,101631,0
104560D,137860,0
104560D,370892,0
104560D,411634,0
104560D,314941,0
104560D,255665,0
104560D,8432,1
104560D,284692,1
104560D,72963,1
104560D,359222,1
1045658C,95546,0
1045716C,67256,0
1045833D,27935,0
104588C,97606,0
1046021C,3520,0
1046200E,129345,0
1046200E,202187,0
1046200E,115849,0
1046200E,12458,0
104716C,224947,1
1047171C,113895,1
1047256B,72585,1
1047286A,404178,0
1047581E,192282,0
1047637D,245649,0
1047799B,107437,0
1047810A,88794,0
1047882E,333561,0
104795C,400769,0
104795C,190196,0
104795C,20405,0
104795C,30082,0
104795C,154075,1
104796A,32204,0
104796A,279074,0
1048113B,87989,0
104823C,420398,1
1048249B,420398,1
1048268A,55630,0
1048268A,208349,0
1048268A,56103,0
1048268A,36154,0
1048268A,33921,1
1048335B,286900,0
1048416C,286303,0
1048470D,135814,0
1048487E,37657,1
1048549D,281522,0
10486E,376814,0
10486E,95145,0
104876E,322468,0
104877D,496614,0
1049293A,100480,0
1049293A,75437,0
1049293A,90000,0
1049293A,139612,0
1049293A,49555,0
1049402E,132263,0
1049454B,326393,0
1049532D,11544,1
1049578B,440995,0
1049684C,91422,0
1049694D,37437,0
1049736E,64721,0
1049761A,261471,0
104976A,190950,0
1049965B,50587,0
1049973E,64635,0
1049999A,39087,0
105002D,324890,0
105002D,261169,0
105002D,96361,0
105002D,159627,0
105002D,42815,0
105002D,159211,0
105002D,186864,0
105002D,80195,0
105002D,234672,0
105002D,254959,0
105002D,130301,0
105002D,253310,0
105002D,17197,1
105002D,18232,1
1050079D,252449,0
1050117A,25768,0
1050192B,8432,1
105028C,169758,0
105028C,50719,0
105028C,109500,0
105028C,105657,0
105028C,40383,0
105028C,39560,0
105028C,87635,0
105028C,6493,0
105028C,42315,0
105028C,86792,0
105028C,115628,0
105028C,73224,0
105028C,46876,0
105028C,21896,0
105028C,35450,0
105028C,70900,0
105028C,197238,0
105028C,83613,0
1050351B,39410,0
1050488B,107291,1
105058C,59041,0
105071D,242180,0
1050771C,109547,0
1050980C,34688,1
1050987B,44318,0
1051102D,27195,1
1051134A,177821,0
1051134A,443621,0
1051486D,192197,0
1051486D,168716,0
1051486D,323266,0
1051585E,132081,0
1051707B,12039,0
105197B,96475,0
1052055B,46501,0
1052063E,19766,0
1052063E,88010,0
1052108C,27580,0
1052317D,440833,0
1052317D,21269,0
1052325E,52497,1
1052417A,116256,0
1052511B,70778,0
1052511B,63062,1
1052622C,122745,0
105265A,31750,1
1052758A,28954,0
1053081D,114514,1
105325B,268316,0
1053268E,92875,0
1053329E,220047,0
1053337A,56969,0
1053364B,111777,0
105342C,356811,0
105342C,141405,0
105342C,83475,0
1053445E,146735,0
1053486D,169388,0
10534D,103328,0
10534D,146427,0
1053504E,289266,0
1053766A,92501,0
1053766A,175230,1
1053979B,40352,0
1054091A,38195,0
1054091A,57025,0
1054091A,41541,0
1054091A,107235,0
1054091A,28249,0
1054091A,40118,0
1054091A,47797,0
1054091A,38576,0
1054091A,79309,1
1054092E,53034,0
1054142B,516546,0
1054594B,33985,0
1054613C,183565,0
1054613C,48029,0
1054613C,231271,0
1054613C,13982,0
1054613C,92453,0
1054613C,256925,0
1054613C,99637,0
1054613C,149043,0
1054613C,341828,0
1054613C,112499,0
1054613C,41870,0
1054613C,55348,0
1054613C,4496,0
1054613C,321127,0
1054613C,59701,0
1054613C,38844,0
1054613C,63005,0
1054613C,172309,0
1054613C,3459,0
1054613C,47085,0
1054613C,44117,0
1054613C,39210,0
1054613C,60317,0
1054613C,36860,0
1054613C,53471,0
1054613C,27944,0
1054613C,1559,0
1054613C,46217,0
1054613C,222582,0
1054613C,45335,0
1054613C,119138,0
1054613C,48406,0
1054613C,35624,0
1054613C,63918,0
1054613C,37119,0
1054613C,24418,0
1054613C,171511,0
1054613C,199283,0
1054613C,108681,0
1054613C,156664,0
1054613C,144626,0
1054613C,158362,0
1054613C,113013,0
1054613C,34156,0
1054613C,8461,0
1054613C,55820,0
1054613C,26257,0
1054613C,11734,0
1054613C,140245,0
1054613C,121921,0
1054613C,21505,0
1054613C,62980,0
1054613C,218598,0
1054613C,41734,0
1054613C,22294,0
1054613C,127858,0
1054613C,42754,0
1054613C,20923,0
1054613C,124802,0
1054613C,15515,0
1054613C,80313,0
1054613C,61506,0
1054613C,62814,0
1054613C,49928,0
1054613C,148440,0
1054613C,63838,0
1054613C,281911,0
1054613C,332633,0
1054613C,5297,0
1054613C,211570,0
1054613C,57248,0
1054613C,48915,0
1054613C,127008,0
1054613C,292772,0
1054613C,30712,0
1054613C,100988,0
1054613C,126292,0
1054613C,307209,0
1054613C,55957,0
1054613C,1551,0
1054613C,156900,0
1054613C,286185,0
1054613C,38444,0
1054613C,98849,0
1054613C,190380,0
1054613C,10169,0
1054613C,348039,0
1054613C,29251,0
1054613C,139499,0
1054613C,139717,0
1054613C,69695,0
1054613C,16967,0
1054613C,154286,0
1054613C,76146,0
1054613C,69115,0
1054613C,8794,0
1054613C,18583,0
1054613C,12466,0
1054613C,19299,0
1054613C,239941,0
1054613C,31020,0
1054613C,54921,0
1054613C,110939,0
1054613C,11074,0
1054613C,282273,0
1054613C,64621,0
1054613C,153971,0
1054613C,216401,0
1054613C,263947,0
1054613C,291523,0
1054613C,13590,1
1054613C,52670,1
1054613C,62997,1
1054613C,247127,1
1054613C,159547,1
1054613C,21104,1
1054613C,4788,1
1054613C,346,1
1054613C,34534,1
1054613C,67639,1
1054613C,195860,1
1054613C,6613,1
1054613C,12890,1
1054613C,79498,1
1054613C,106650,1
1054613C,104322,1
1054613C,44300,1
1054613C,322262,1
1054613C,80822,1
1054613C,97795,1
1054613C,44853,1
1054613C,22691,1
1054613C,17402,1
1054613C,71696,1
1054613C,77086,1
1054613C,120270,1
1054613C,385509,1
1054613C,130891,1
1054613C,345526,1
1054613C,211569,1
1054613C,219701,1
1054613C,10198,1
1054613C,134586,1
1054613C,39711,1
1054613C,12659,1
1054613C,16901,1
1054613C,77446,1
1054613C,343369,1
1054613C,347135,1
1054613C,63565,1
1054613C,81241,1
1054613C,31839,1
1054613C,211506,1
1054613C,76139,1
1054613C,544,1
1054613C,146387,1
1054613C,76816,1
1054613C,116476,1
1054613C,91267,1
1054613C,68337,1
1054613C,90976,1
1054613C,167967,1
1054613C,41596,1
1054613C,33989,1
1054613C,12345,1
1054613C,39890,1
1054613C,39449,1
1054613C,10284,1
1054613C,57342,1
1054613C,23149,1
1054613C,24062,1
1054613C,41233,1
1054613C,164446,1
1054613C,74446,1
1054613C,96116,1
1054613C,46281,1
1054613C,222086,1
1054613C,190560,1
1054613C,17556,1
1054613C,11581,1
1054613C,23834,1
1054613C,351216,1
1054613C,138131,1
1054613C,38971,1
1054613C,296783,1
1054613C,121947,1
1054613C,159402,1
1054613C,30331,1
1054613C,15866,1
1054613C,63189,1
1054613C,20304,1
1054613C,45869,1
1054613C,43422,1
1054613C,24156,1
1054613C,106753,1
1054613C,242568,1
1054613C,222237,1
1054613C,17537,1
1054613C,282903,1
1054613C,31208,1
1054613C,60810,1
1054613C,65232,1
1054678D,312153,0
1054797A,14501,0
1054797A,32566,0
1054903A,233566,0
1055148C,94031,0
105532D,165184,1
1055569B,240430,0
1055571C,14911,0
1055589D,27030,0
10556512D,145936,1
1055696A,150023,0
1055707D,117317,0
1055707D,33009,1
105572A,289388,0
1055792E,149257,1
1055934E,200577,1
1055936E,45668,0
1055953A,181195,0
105647D,424691,1
1056521B,374070,1
1056686A,352956,0
1056703E,97156,0
1056862E,352987,0
1057076A,98620,0
1057079B,107123,0
1057114D,15027,0
1057175E,105760,0
1057213A,294196,0
1057213A,83203,0
1057213A,18816,1
1057213A,37374,1
1057213A,69347,1
1057213A,83625,1
1057213A,36984,1
1057213A,85800,1
1057213A,48217,1
1057213A,20492,1
1057231C,89925,0
1057268B,43509,0
1057270D,21819,0
1057310A,2886,0
1057326C,50436,0
1057389D,172167,0
1057389D,17907,0
1057389D,43290,0
1057453E,62102,0
1057453E,41649,0
1057453E,150987,0
1057453E,173175,0
1057453E,15027,0
1057453E,171167,0
1057453E,90536,0
1057453E,13186,0
1057453E,38203,0
1057453E,14625,0
1057453E,163752,0
1057453E,45809,0
1057453E,97573,0
1057453E,14410,0
1057453E,10628,0
1057453E,155754,0
1057668B,154348,0
1057807E,48013,0
10582631B,33939,1
1058431D,226915,0
1058482C,48398,1
105876D,356814,1
1058797E,44321,0
1058804A,68455,0
1058882D,5049,0
